Gene_Name
ABCB1
ABCC2
ABCC4
ABCG2
ABL1
ABL2
ACO1
ACVR1B
ACVR2A
ACVR2B
ADNP
AJUBA
AKT1
AKT2
AKT3
ALK
ALKBH6
ALOX12B
ALPK2
AMER1
APC
APCDD1
APOL2
AR
ARAF
ARFRP1
ARHGAP35
ARID1A
ARID1B
ARID2
ARID5B
ARL11
ASXL1
ASXL2
ASXL3
ATM
ATP5B
ATR
ATRX
AURKA
AURKB
AXIN1
AXIN2
AXL
AZGP1
B2M
B4GALT3
BACH1
BAK1
BAP1
BARD1
BCL2
BCL2L11
BCL2L2
BCL6
BCLAF1
BCOR
BCORL1
BCR
BLM
BRAF
BRCA1
BRCA2
BRE
BRIP1
BRWD3
BTG1
BTK
CAP2
CARD11
CASP8
CBFB
CBL
CBLB
CBLC
CCND1
CCND2
CCND3
CCNE1
CD1D
CD70
CD79A
CD79B
CDC27
CDC73
CDH1
CDH12
CDH18
CDK12
CDK4
CDK6
CDK8
CDKN1A
CDKN1B
CDKN2A
CDKN2B
CDKN2C
CEBPA
CENPL
CEP76
CERS2
CHD4
CHD8
CHEK1
CHEK2
CHUK
CIC
CNBD1
CNKSR1
COMT
CRBN
CREBBP
CRIPAK
CRKL
CRLF2
CSF1R
CTCF
CTNNA1
CTNNB1
CUL4A
CUL4B
CUX1
CYLD
CYP17A1
CYP1B1
CYP2C19
CYP2C8
CYP2D6
CYP3A4
CYP3A5
DAXX
DCAF6
DDR1
DDR2
DDX11
DDX3X
DDX5
DIAPH1
DIDO1
DIS3
DLC1
DNER
DNMT1
DNMT3A
DOT1L
DPYD
ECSCR
EGFR
EGR3
EIF2S2
EIF3A
EIF4A2
ELF3
EME2
EML4
EMSY
EP300
EPHA2
EPHA3
EPHA5
EPHB1
EPHB2
EPHB6
EPPK1
ERBB2
ERBB3
ERBB4
ERCC2
ERG
ESR1
ESR2
ETV1
ETV4
ETV5
ETV6
EWSR1
EXT1
EZH1
EZH2
EZR
FAM129B
FAM46C
FANCA
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FAT1
FAT3
FBXW7
FCGR1A
FCGR2A
FCGR3A
FGF10
FGF12
FGF14
FGF19
FGF23
FGF3
FGF4
FGF6
FGF7
FGFBP1
FGFR1
FGFR2
FGFR3
FGFR4
FLT1
FLT3
FLT4
FOXA1
FOXA2
FOXL2
FOXQ1
FUBP1
FZD1
GAB2
GATA1
GATA2
GATA3
GID4C
GNA11
GNA13
GNAQ
GNAS
GNB1
GPR124
GPS2
GRIN2A
GRM3
GSK3B
GSTP1
GUCY1A2
H3F3A
H3F3C
HAUS3
HDAC4
HGF
HIF1A
HIST1H1C
HIST1H1E
HIST1H2BD
HIST1H3B
HIST1H4E
HLA-A
HLA-B
HLA-G
HNF1A
HRAS
HSP90AB1
IDH1
IDH2
IGF1
IGF1R
IGF2
IKBKE
IKZF1
IL7R
ING1
INHA
INHBA
INPPL1
IPO7
IRF4
IRS2
ITGAV
ITPA
JAK1
JAK2
JAK3
JUN
KDM5A
KDM5C
KDM6A
KDR
KEAP1
KIF5B
KIT
