sampleName,GTSP
GTSP0830-1,GTSP0830
GTSP0830-2,GTSP0830
GTSP0830-3,GTSP0830
GTSP0830-4,GTSP0830
GTSP0831-1,GTSP0831
GTSP0831-2,GTSP0831
GTSP0831-3,GTSP0831
GTSP0831-4,GTSP0831
