0610039K22Rik
1200004M23Rik
1810054D07Rik
2010305C02Rik
2310038H17Rik
2400010G15Rik
2610207F23Rik
2810055G22Rik
2810406C15Rik
2810437L13Rik
3110045G13Rik
3110049J23Rik
3930402G23Rik
4732407F15Rik
4921526G09Rik
4921528H16Rik
4930474N05Rik
4931406I20Rik
4933435A13Rik
5330416C01Rik
5730593F17Rik
A730041O15Rik
A930017M01Rik
AAC1
AATF
AB041803
ABCA1
ABCA3
ABCB1
ABCB10
ABCB4
ABCB5
ABCB8
ABCC1
Abhd2
ABI1
ABL1
ABL2
ABO
ABR
ABTB2
ACADM
ACAP1
ACCS
ACSL3
ACSL5
ACSL6
ACTB
ACTHR
ACTL9
ACVR1B
ACVR2A
ADAM12
ADAM23
ADAM29
ADAM9
ADAMTS1
ADAMTS15
ADAMTS18
ADAMTSL3
Adarb2
ADD3
ADIPOR1
AEGP
AF15Q14
AF1Q
AF3p21
AF5q31
AFF1
AFF3
AFF4
AGAP2
AGER
Ahi1
AI591476
AIB1
AIFM1
AIFM2
AK040965
AK136714
AK156805
AKAP12
AKAP13
AKAP9
AKR1C3
Akt1
AKT2
AKT3
Alad
ALDH2
ALDOB
Alg14
ALK
ALO17
ALOX12
ALOX15
ALOX5
ALS2CL
AMER1
AMFR
AMOT
ANG
Ankrd44
ANLN
ANP32A
Anp32b
Anxa1
Ap3m2
APAF1
APC
APC2
APEH
APH
Aph1a
APLNR
APOBEC2
APRIN
Aps
AR
ARAF
ARAF1
ARAF2
ARAF2P
ARAFPS
ARAP2
Ard1
AREG
Arf6
ARH6
ARH9
ARHA
ARHG
ARHGAP20
Arhgap25
ARHGAP26
Arhgap4
Arhgap9
ARHGEF12
ARHGEF2
ARHGEF4
ARHH
Arid1a
ARID1B
ARID2
ARID4A
Arid5a
ARMCX1
ARMCX2
ARMCX3
ARMET
ARNT
ARP
ASCL1
ASL
ASNS
ASPM
ASPSCR1
ASTN2
ASXL1
AT
ATBF1
ATF1
ATF2
ATF3
ATF4
ATF5
Atf7ip
Athl1
ATIC
ATM
ATP8B1
ATR
ATRX
Auh
AURKA
Avpi1
AXIN1
AXIN2
AXL
B2M
B3GNT6
B430306N03Rik
B4GALT5
BAALC
Bach2
BAD
BAG1
BAG3
BAK1
BAP1
BARD1
Batf
BAX
BBC3
BC026439
BC062115
BC067047
BCAS3
BCAS4
BCL1
Bcl10
BCL11A
BCL11B
BCL2
BCL2A1
Bcl2l1
BCL2L11
BCL2L12
BCL2L2
BCL3
BCL5
BCL6
BCL7A
BCL7B
BCL9
BCLX
Bcor
BCPR
BCR
BCRL2
BCRL3
BCRL4
BCRP2
BCRP3
BCRP4
BFSP2
BGN
BHD
Bhlhb3
BHLHE41
Bid
BIN1
BIRC2
BIRC3
BIRC6
BLCAP
BLM
BLYM
BMI1
BMPR1A
BNIP3
BOK
BOP1
BRAF
BRAT1
BRC
BRCA1
BRCA2
BRCATA
BRCD1
BRCD2
Brd2
BRD3
BRD4
BRE
BRIP1
BRMS1
Brwd2
BRWD3
Bspry
BTBD19
BTG1
Btg2
BTK
BTRC
BUB1
BUB1B
BWSCR1A
Bzrap1
C10orf137
C11ORF30
C12orf9
C14orf155
C14orf49
C15orf2
C15orf21
C15orf55
C16orf75
C16orf80
C1orf183
C1orf55
C1orf63
C1orf64
C22orf19
C2orf65
C3ar1
C6orf29
C7orf27
C9orf103
Cadps2
CAGE1
CALCA
CALCR
Camk2b
Camk2d
Camkk2
CAMTA1
CAN
CANT1
Capg
CARD11
Card4
CARD8
CARS
CAS
CASC3
CASC5
CASP1
CASP8
CASP9
CAV1
CBFA2T1
CBFA2T3
Cbfa2t3h
CBFB
CBL
CBLB
CBLC
Cbx4
CCDC6
CCL7
CCNA
CCNA2
CCNB1
CCNB1IP1
CCNC
CCND1
Ccnd2
Ccnd3
CCNE
CCNE1
CCNF
CCNG
CCNG1
CCNH
CCNT1
Ccr1
Ccr7
CCR9
CD109
CD151
CD200
CD248
CD273
Cd274
CD44
CD46
Cd52
CD53
CD55
Cd6
CD69
CD74
CD79A
CD79B
CD82
CD9
CD97
CDA
CDC2
CDC20
CDC25
CDC25A
CDC25B
CDC25C
CDC27
CDC2L1
CDC2L2
CDC34
CDC42
CDC42EP1
CDC6
CDC73
CDCL1
CDH1
CDH10
CDH11
CDH13
CDH20
CDK1
CDK11A
CDK11B
CDK16
CDK18
CDK2
CDK20
CDK2AP1
CDK4
CDK5
Cdk5r1
CDK6
CDK7
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2A -p16(INK4a) 
CDKN2A- p14ARF
CDKN2B
CDKN2C
CDKN2D
CDKN3
CDT1
CDX2
CEA
CEACAM1
CEACAM7
CEBPA
Cebpb
Cecr5
CELA1
CENPF
CENTB1
Centd1
CENTG1
CEP1
CFLAR
CFP
CHCHD7
Chd2
Chd3
CHD5
Chd9
CHEK2
CHFR
CHGA
CHIC2
CHKA
CHL1
CHN1
CHRNB4
CIC
CIITA
CIP29
Cirbp
CITED2
CITED4
CKS1
CKS1B
CKS1BP7
CKS2
CLDN4
Clic4
CLL
CLP1
CLTC
CLTCL1
CLU
CMKOR1
CML
CMM
Cmtm7
CMYA1
CNNM4
Cnr2
CNTN4
CNTN6
CNTRL
COEPB
COL11A1
COL16A1
COL19A1
COL1A1
COL1A2
COL28A1
COL4A3
COL7A1
COPEB
COPS2
Coro1a
Coro1c
CORO2A
Coro2b
Cotl1
COX19
COX6C
Cplx2
CR1L
Cr2
CRAC1
Crb2
CRC
CREB1
CREB3L1
CREB3L2
CREBBP
Crip2
CRK
CRKL
CRLF2
Crlz1
Crry
CRTC1
CRTC2
CRTC3
Cryaa
CRYAB
CSE1L
CSF1
Csf1r
Csf3r
CSMD3
CSNK1A1
CSNK2A1
Cspg4
Csrp2bp
CST6
CSTA
Cstad
CSTB
CTGF
CTHRC1
CTIF
CTNNA1
CTNNB1
CTNND1
Ctnnd2
CTSB
CTSH
CTSL1
CTTN
CUBN
Cuedc1
CUL1
CUL4B
Cutl1
CUX1
CXCL1
CXCL10
CXCL2
CXCL3
CXCR3
CXCR7
CXXC6
CYB5R4
CYLD
CYP19A1
CYP1A1
CYP2A6
CYP2D
CYP2D6
CYP2W1
CYP7A1
CYP7B1
CYR61
D10S170
D12Ertd553e
D14Ertd171e
DAB2
DAB2IP
Dach2
Daf1
DAPK1
DAXX
DBN1
DCC
DDB2
DDIT1
DDIT3
Ddr1
DDX1
DDX10
DDX43
DDX5
DDX6
DEC
DEFB1
DEK
DENR
Dgke
Dhrs3
DHX9
DICER1
DIO2
DIP2C
DIRAS3
DIRC1
DIRC2
DIRC3
DKC1
DKK1
DLC1
DLEU1
DLEU2
DLG1
Dlgap1
Dlst
DLX4
DMBT1
DMTF1
DNAH9
DNAJC24
Dnajc6
Dnajc9
